SOC,Description,"Employed in Industry (2025)","Employed in Industry (2026)","Employed in Industry (2030)","Change (2026 - 2030)","% Change (2026 - 2030)","% of Total Jobs in Industry (2025)","Median Hourly Earnings","Typical Entry Level Education","Work Experience Required","Typical On-The-Job Training"
29-1299,"Healthcare Diagnosing or Treating Practitioners, All Other",176.704706542,176.095656828,173.520048384,-2.57560844401,-0.0146261894836,0.00176591490097,46.3477897124,"Master's degree",None,None
15-1221,"Computer and Information Research Scientists",174.701234701,175.377771855,177.322164014,1.9443921595,0.0110868791349,0.00174589301901,100.548920027,"Master's degree",None,None
27-3091,"Interpreters and Translators",173.28339732,175.500678337,183.02279932,7.52212098378,0.0428609225621,0.00173172372942,36.3334172205,"Bachelor's degree",None,None
43-2099,"Communications Equipment Operators, All Other",169.920851974,172.685270716,183.300470758,10.6152000419,0.0614713692595,0.00169811982012,26.666664,"High school diploma or equivalent",None,"Short-term on-the-job training"
25-2057,"Special Education Teachers, Middle School",168.111606032,170.766841795,177.107798012,6.34095621712,0.0371322450568,0.00168003895272,45.8087769042,"Bachelor's degree",None,None
53-1047,"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors",166.538716207,168.864658691,176.204197403,7.33953871238,0.0434640307172,0.00166432013212,32.1219863549,"High school diploma or equivalent","Less than 5 years",None
47-4051,"Highway Maintenance Workers",166.066797164,170.987355409,183.90441275,12.9170573408,0.0755439331169,0.00165960396533,31.2263802205,"High school diploma or equivalent",None,"Moderate-term on-the-job training"
53-7081,"Refuse and Recyclable Material Collectors",165.688442578,167.919029855,173.050217834,5.13118797845,0.0305575132424,0.00165582284362,33.7837237283,"No formal educational credential",None,"Short-term on-the-job training"
31-1128,"Home Health and Personal Care Aides",163.106793485,164.348483548,167.187864891,2.83938134324,0.0172765898531,0.00163002289357,20.7217081649,"High school diploma or equivalent",None,"Short-term on-the-job training"
23-2099,"Legal Support Workers, All Other",159.196066388,158.742007263,156.72451968,-2.01748758215,-0.012709223078,0.00159094067901,35.6769395051,"Associate's degree",None,None
11-9121,"Natural Sciences Managers",159.152484201,158.450989158,155.502865171,-2.94812398713,-0.0186059045942,0.00159050513638,90.6090968833,"Bachelor's degree","5 years or more",None
27-3031,"Public Relations Specialists",158.558910208,160.253300997,165.08682052,4.83351952379,0.0301617470201,0.00158457319954,40.3948847836,"Bachelor's degree",None,None
51-8031,"Water and Wastewater Treatment Plant and System Operators",155.555438215,158.779542912,166.187368063,7.40782515103,0.0466547831991,0.00155455772315,40.7579295726,"High school diploma or equivalent",None,"Long-term on-the-job training"
19-1042,"Medical Scientists, Except Epidemiologists",155.520715232,156.161805877,157.506445715,1.34463983872,0.00861055513014,0.00155421071579,44.618377804,"Doctoral or professional degree",None,None
23-1023,"Judges, Magistrate Judges, and Magistrates",154.015398988,154.904441674,157.640627258,2.73618558406,0.0176636999849,0.00153916719806,60.5767160763,"Doctoral or professional degree","5 years or more","Short-term on-the-job training"
43-5061,"Production, Planning, and Expediting Clerks",153.082562599,154.229159112,157.904087689,3.67492857679,0.023827715835,0.00152984481095,30.3895599164,"High school diploma or equivalent",None,"Moderate-term on-the-job training"
29-2061,"Licensed Practical and Licensed Vocational Nurses",151.664051955,153.748856989,159.371834765,5.62297777648,0.0365724850682,0.00151566879304,37.1394213444,"Postsecondary nondegree award",None,None
